SMILES,Density,id
*CCCCCc1ccc(CCCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.24,327
*CCCCc1ccc(CCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.35,328
*CCCc1ccc(CCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,1.31,329
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1,1.39,330
*CCCCOC(=O)CCCCCCCC(=O)O*,1.1087,331
*CCCOC(=O)c1cccc(C(=O)O*)c1,1.207,332
*CC(C)(C)COC(=O)CCC(=O)O*,1.17,333
*Cc1ccc(COC(=O)c2ccc(C(=O)O*)cc2)cc1,1.4,334
*Oc1ccc(-c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.39,335
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,1.198,336
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3cccc(C(*)=O)c3)c(C)c2)cc1C,1.1215,337
*CCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,1.329,338
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(C(C)(CC)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,1.14,339
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.1135,340
*Oc1ccc(C2(c3ccc(OC(=O)c4ccc(C(*)=O)cc4)cc3)c3ccccc3-c3ccccc32)cc1,1.376,341
*Oc1ccc(C(c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.4041,342
*CCCCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.008,343
*OC1CCC(OC(=O)CCCCCCCCC(*)=O)CC1,1.136,344
*CCOC(=O)c1ccc(C2(C)CC(C)(C)c3ccc(C(=O)O*)cc32)cc1,1.19,345
*CCC(=O)N*,1.36,346
*CCCCCNC(=O)CCCCC(=O)N*,1.14,347
*CCCCCC(=O)N*,1.14,348
*CCCCCCNC(=O)CCCCC(=O)N*,1.1422,349
*CCCCCCNC(=O)CCCCCC(=O)N*,1.135,350
*CCCCCCNC(=O)CCCCCCC(=O)N*,1.143,351
*CCCCCCNC(=O)CCCCCCCC(=O)N*,1.1035,352
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,1.09,353
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.06,354
*CCCCCCC(=O)N*,1.118,355
*CCCCCCCNC(=O)CCCCC(=O)N*,1.1135,356
*CCCCCCCNC(=O)CCCCCC(=O)N*,1.108,357
*CCCCCCCC(=O)N*,1.079,358
*CCCCCCCCNC(=O)CCCCCCCCC(=O)N*,1.07255,359
*CCCCCCCCC(=O)N*,1.066,360
*CCCCCCCCCC(=O)N*,1.0535,361
*CCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.35,362
*CCCCCCCCCCC(=O)N*,1.04,363
*CCCCCCCCCCCC(=O)N*,1.02,364
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.01,365
*CCCCCCCCCCCCC(=O)N*,1.029,366
*CCCNC(=O)CCCCC(=O)NCCCN(*)C,1.12,367
*CCCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,1.15,368
*CCCP(C)(=O)CCCNC(=O)CCCCC(=O)N*,1.2,369
*CCCP(CCCNC(=O)CCCCC(=O)N*)c1ccccc1,1.16,370
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,1.05,371
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCCCC(=O)N*)cc1,1.077,372
*CCc1ccc(CCNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,1.091,373
*CCc1ccc(CCNC(=O)CCCCCCCCCC(=O)N*)cc1,1.108,374
*CCc1ccc(CCNC(=O)CCCCCCCCC(=O)N*)cc1,1.139,375
*Nc1ccc(-c2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.52,376
